,CRITERES_ATTRIBUTION_1,CRITERES_ATTRIBUTION_2
43478,Prix des prestations,Valeur technique des prestations
43479,Valeur technique,Prix
43486,Prix des prestations,Valeur technique
43492,Valeur technique de la prestation,Prix des prestations
43493,Valeur technique (Nature des points de contrôle dans la maintenance préventive/20,Prix (lot 1DPGF maintenance préventive/20
43503,Valeur technique,Prix des prestations
43504,Note méthodologique,Prix
43512,Valeur technique,Prix au vu du DQE
43516,Valeur technique appréciée au regard dun mémoire technique,Prix (jugé au regard du BPU/DQE et prix catalogue
43517,Prix,Valeur technique
43523,Pour le lot 1 : lassistance technique proposée et les moyens humains et matériels affectés (note de présentation (note sur 20,Pour le lot 1 : le prix des prestations (note sur 20
43528,Valeur technique appréciée au regard dun mémoire technique,Prix
43529,Prix,Valeur technique
43532,Valeur technique au vu du mémoire technique : 1 moyens humains et techniques,Prix
43534,Prix,compétence des intervenants et profil de léquipe dédiée au projet
43535,Performances en matière dinsertion professionnelle des publics en difficulté (mémoire technique - partie I (note sur 20,Prix des prestations (note sur 20
43536,Valeur technique,Prix des prestations
43537,Valeur technique,Prix des prestations
43538,valeur technique,prix des prestations
43540,Valeur technique au vu des modalités dexécution de la prestation (commande,Prix
43550,Valeur technique,Prix des prestations
43551,Valeur technique : pondération 60 points (cf article 6 RC pour la sous-pondération,Prix : pondération 30 points
43568,Programme détaillé de chacune des sessions,Organisation et méthodes pédagogiques
43576,valeur technique,Composition/compétence équipe
43580,prix des prestations,valeur technique
43583,Valeur technique jugée au vu du mémoire technique précisant la qualité des produits (fiches techniques et le planning,Prix
43586,valeur technique des prestations,prix des prestations
43588,Valeur technique de loffre,Prix
43593,Lot 1 : Valeur technique,Lot 1 : Valeur technique : Moyens mis à disposition pour mener à bien lexécution du contrat
43596,Valeur financière appréciée à partir de la commande type indiquée dans les documents de consultation,Moyens mis en oeuvre pour la bonne exécution du contrat
43602,valeur technique,prix des prestations
43604,Valeur technique,Coût global des prestations
43606,Prix de la prestation,Pertinence de la méthodologie proposée :
43637,Valeur technique (évaluée sur le mémoire technique fourni par les candidats,Prix des prestations (évalué sur la décomposition du prix global et forfaitaire
43641,délai dexécution,valeur technique
43655,Prix des prestations,Valeur technique (jugée par rapport au cadre de réponse
43658,Délai,Prix
43660,Prix,Valeur technique appréciée notamment au vu du mémoire technique
43662,Prix,Valeur technique
43663,valeur technique,prix des prestations
43667,Prix des prestations (sous-critères : montant de la prime (55% et montant des franchises (5%,Etendue des garanties
43668,valeur technique,prix des prestations
43673,Prix,Valeur technique
43677,Prix,Valeur technique
43693,La valeur technique des produits et des prestations,Le prix
43694,Valeur technique,Prix des prestations
43704,Les références (60 points. Ce critère sera jugé sur des exemples de réalisation,-La méthodologie proposée (40 points. Ce critère sera jugé sur le process de fabrication
43707,Prix,Valeur technique
43709,Prix,Valeur technique
43710,Valeur technique,Prix de la prestation
43712,Prix : 70 points,Valeur technique (qualité de la DPGF
43713,Prix : 70 points,Valeur technique (qualité de la DPGF
43714,Qualité de la prestation,Qualité de la prestation : Méthodologie pour assurer la prestation et planning dintervention détaillé par phase et pour chaque type de diagnostic
43715,PRIX,valeur technique 30% dont mémoire technique 20 % qualité et lisibilité de loffre au travers du DPGF 10%
43716,Prix des prestations,Valeur technique appréciée sur la base : de lorganisation proposée
43721,Prix,Valeur technique
43723,Valeur technique,Prix des prestations
43727,Valeur technique de loffre,Prix
43732,Prix des prestations,Valeur technique au moyen du mémoire technique portant notamment sur les moyens et méthodes proposés (25% ainsi que les qualités et caractéristiques esthétiques et fonctionnelles des fournitures (10%
43734,La valeur technique,Le montant des honoraires
43737,Prix des prestations,Valeur technique
43738,Le prix,La valeur technique sera évaluée sur la base dun mémoire technique (Document à compléter ci joint qui précisera : 1 - Qualité des produits installés (groupe deau glacée et régulation
43740,Mémoire technique : 1 Organisation mise en place pour le chantier (qualifications des personnes affectées au chantier,Prix
43742,Prix,Valeur technique de loffre appréciée à laide du mémoire technique
43745,prix des prestation,Valeur technique
43747,prix des prestations,valeur technique
43751,Mémoire technique : 1 Organisation mise en place pour le chantier (qualifications des personnes affectées au chantier,Prix
43760,Le prix des prestations (note sur 20,La qualité et la diversité des échantillons (note sur 20
43762,Prix des prestations,Valeur technique
43763,Valeur technique de loffre,Prix
43764,valeur technique de loffre,prix
43765,Valeur technique,Prix des prestations
43767,La qualité de la réponse au cas pratique 1,La qualité de la réponse au cas pratique 2
43768,Qualité et pertinence de la réponse au cas pratique,Moyens humains mobilisés pour la prestation
43769,Valeur technique,Prix des prestations
43772,valeur technique (s/critère 1 : méthodologie proposée 30 points - s/critère 2 : moyens et expérience des personnes affectées à la mission 30 points,prix
43780,Prix,Valeur technique ( moyens techniques - qualification du personnel - références service - maintenance
43784,Prix des prestations,Valeur technique
43791,Valeur technique,Prix des prestations
43794,Valeur technique : pondération 60 points (voir sous pondération détaillée à lart 6.2 du RC,Prix : pondération 40 points
43799,Valeur technique,Prix
43801,Prix des prestations ( 70 points ,Valeur technique ( 30 points 
43803,Prix des prestations,Valeur technique
43804,valeur technique,prix des prestations
43806,Prix : 60 points,Valeur technique (temps passé : 40 points
43807,Valeur technique de la solution proposée,Valeur technique de la solution proposée : Adéquation des moyens matériels et logiciels proposés aux spécificités attendues et mentionnées dans le CCTP
43810,valeur technique (en points,prix (en points
43816,Prix,Valeur technique de loffre
43819,valeur technique 45 points,Heures dintervention 30 points
43821,Valeur technique,Prix des prestations
43822,prix des prestations,valeur technique
43825,valeur technique,Prix
43830,Prix des prestations,Valeur technique
43831,Valeur technique de loffre,Prix
43834,Valeur Technique,Prix des prestations
43836,Prix,Qualité technique des prestations
43838,Valeur technique,Prix
43842,Nature et étendue des garanties -qualité des clauses contractuelles,Tarification
43844,valeur technique,prix
43848,valeur technique,prix
43849,Prix des prestations,Valeur technique
43852,Valeur technique,Prix des prestations
43853,valeur technique (s/critère 1 : moyens et expérience des personnes qui seront affectées à la mission 30 points - s/critère 2 : qualité du mémoire 30 points,prix des prestations
43855,Valeur technique,Prix
43860,Prix,Valeur technique appréciée notamment au vu du mémoire technique
43862,Valeur technique,Prix des prestations
43864,valeur technique,critère social
43865,La valeur technique des prestations,Le prix
43870,Prix des prestations,Valeur technique
43873,Valeur technique,Prix
43874,Valeur technique,Prix
43894,-la valeur technique de la réponse. Les éléments suivants seront appréciés : les moyens humains et techniques pour garantir les missions,-le prix de la prestation. Ce critère sera jugé sur le devis détaillé et le bordereau de prix dûment complété
43895,Valeur technique,Prix des prestations
43897,délai dexécution,valeur technique
43903,Adéquation des compétences du candidat avec les exigences du programme technique,Compréhension du programme technique et fonctionnel
43905,Prix global et forfaitaire,Valeur technique
43908,Valeur du mémoire technique,Prix
43909,Valeur technique,Prix des prestations
43911,Prix global et forfaitaire de loffre,Moyens humains de lentreprise mis à disposition
43912,Qualités esthétique et technique des vidéos (équilibre entre qualité esthétique et informations objectives présentes dans les 3 réalisations présentées dans loffre : 25 % - qualité technique des vidéos : 30 %,Prix des prestations
43922,Valeur technique (s/critère 1: Expliciter la méthodologie proposée,Prix
43942,Qualité du parti pris pour lorganisation générale sur le site et pour lexpression architecturale,Respect du programme (nombre
43953,Valeur technique,Prix des prestations
43957,Valeur technique,Prix des prestations
43969,Valeur technique,Prix des prestations
43979,Prix des prestations,Valeur technique de loffre
43980,Prix,La valeur technique des prestations
43984,Prix,Valeur technique
43986,Prix des prestations,Valeur technique jugée (par rapport au mémoire technique et aux échantillons
43987,Prix : 45 points,valeur technique de loffre et compétence : 35 points
43989,Prix des prestations,Valeur technique
43990,Valeur technique,Prix des prestations
43994,Prix,Délais
43998,Prix des prestations,Valeur technique
43999,Prix des prestations,Valeur technique
44000,Prix des prestations,Valeur technique (qualité de la DPGF
44001,Prix des prestations,Organisation mise en oeuvre et des détails des compétences
44002,Valeur technique de loffre,Prix
44005,Prix,Valeur technique de loffre
44006,Prix,Technique
44008,Prix,valeur technique
44011,Valeur technique de loffre,Prix de loffre
44013,Prix,Valeur technique
44020,Qualité et organisation des prestations,Prix des prestations
44021,1. prix,2. valeur technique
44033,Valeur technique de loffre,Prix
44034,Valeur technique,Pris des prestations
44035,Valeur technique attribuée en fonction notamment -du mémoire technique détaillé présentant le matériel proposé et décrivant les différents composants et tout autre renseignement permettant de juger la valeur technique de la fourniture,Prix
44036,valeur technique,prix
44045,Prix des prestations,Valeur technique
44047,Prix des prestations (note sur 20,Valeur technique de loffre (note sur 20
44048,Prix des prestations (note sur 20,Valeur technique de loffre (note sur 20
44052,Prix,Valeur technique
44053,Lots 1,Lots 1
44062,Prix,Valeur technique de loffre
44079,Valeur technique,Prix
44080,valeur technique,prix
44091,prix des prestations,valeur technique
44105,prix,Valeur technique
44108,Prix des prestations,Valeur technique
44110,1-Valeur technique sera jugée au vu du mémoire technique détaillant,1.1-La composition de léquipe : la qualité des moyens humains mis à disposition pour exécuter les prestations et missions. Il est attendu les cv comprenant les titres détudes et professionnels des membres de léquipe et lexpérience
44112,Prix,Valeur technique de loffre
44117,Prix des prestations,Moyens humains et matériels pour réaliser les prestations
44118,Valeur technique et environnementale,Prix
44127,Valeur technique,Prix des prestations
44129,Valeur technique,Prix des prestations
44135,Prix,Qualité des repas
44138,Prix,Vaeur technique
44140,prix,valeur technique
44141,Valeur technique,Prix des prestations
44142,Valeur technique,Prix des prestations
44148,Valeur technique,Prix
44149,Prix des prestations,Valeur technique
44151,Valeur technique,Prix des prestations
44152,Prix et coût dutilisation,Valeur technique noté sur 35 % : Sous Critère 1 : méthodologie mise en oeuvre pour lexécution des travaux notée sur 30 % Sous Critère 2 : nombre et la qualification des personnes dédiées au chantier et notamment le CV du chef de chantier et le conducteur de travaux noté sur 5%
44156,Valeur technique,Prix
44159,Valeur technique sur la base de la note dintention,Prix
44183,Valeur technique,Prix des prestations
44187,Valeur technique (compréhension des enjeux du smicval,Prix des prestations
44190,Critère prix des prestations,Critère technique
44191,Prix des prestations,Valeur technique (qualité mémoire technique
44192,Composition de léquipe,Qualification
44199,Respect du cahier des charges,prix
44211,Prix,Valeur technqiue appréciée au vue du mémoire technique
44212,Valeur technique,Prix
44217,Valeur technique,Prix
44232,Montants et qualité des garanties,Prix de loffre
44236,Valeur technique jugée par le mémoire technique du candidat,Prix des prestations
44240,Prix des prestations,Valeur technique (cf RC
44241,Prix : pondération 55 points,Valeur technique : pondération 45 points (cf article 6 RC pour la sous-pondération
44242,Prix,Valeur technique de loffre
44244,Prix,Valeur technique de loffre
44246,Prix des prestations,Valeur technique
44247,Valeur technique,Prix
44249,Prix,Valeur technique
44251,Prix,Valeur technique
44252,Valeur technique,Prix de la prestation
44258,Prix des prestations,Valeur technique
44262,prix des prestations (évalué sur le détail quantitatif estimatif de chacun des lots,aleur technique (évaluée sur le mémoire technique fourni par les candidats : les moyens matériels et humains affectés de chacun des lots; lorganisation pour réaliser les prestations de chacun des lots; le suivi et contrôle des opérations de chacun des lots ; la durée de garantie des travaux
44266,Programme daction proposé,Equipe mobilisée analysée de la manière suivante : - qualité et profil de léquipe dédiée (nombre
44274,Prix,Valeur technique
44284,Prix,Délai de livraison
44314,Prix des prestations,Valeur technique appréciée au regard de la notice technique portant sur les moyens matériels (10
44315,Valeur technique,Prix des prestations
44318,Valeur technique,Prix des prestations
44325,Valeur technique,Prix
44326,Valeur technique,Prix
44339,Prix,Valeur technique sur la base du cadre de réponse fonctionnel
44340,Prix des prestations : 50 points,Références : 20 points
44341,Valeur technique appréciée notamment au vu du mémoire technique,Prix
44344,Prix,Valeur technique de loffre
44352,prix de la prestation,qualités techniques
44369,Prix,Valeur technique (Qualité de la DPGF
44372,Prix des prestations,Valeur technique
44382,Qualités organoleptiques des produits,Prix
44385,Valeur technique : pondération 60 points (cf art. 6 du RC pour la sous-pondération,Prix : 40 points
44389,Prix des prestations,Valeur technique
44396,Méthodologie de travail tant au niveau des études que du chantier.,Qualité de lorganisation prévisionnelle définie pour lopération
44399,valeur technique,prix
44403,Prix,Valeur technique
44407,Valeur technique de loffre (qualité du produit,Prix des prestations
44408,Capacité technique au vu du curriculum viate de lintervenant,Prix des prestations
44409,Valeur technique de loffre (qualité du produit,Prix des prestations
44412,VALEUR TECHNIQUE,PRIX
44415,Prix,Valeur technique des prestations
44419,respect optimal des conditions définies sur le cahier des clauses techniques particulières,conditions financières
44425,Prix,Valeur technique
44429,Prix,Note technique
44438,prix,valeur technique
44452,Prix,Valeur technique
44457,Valeur technique,Prix des prestations
44459,prix,délai de livraison
44472,VALEUR TECHNIQUE,PRIX
44474,Prix des prestations,Valeur technique
44476,Valeur technique,Prix des prestations
44482,Prix,Note technique
44484,prix,valeur technique
44502,Prix,Valeur technique
44503,Prix,Note technique
44510,Valeur technique de loffre,Frais des prestations
44520,Valeur technique appréciée au regard dun mémoire technique,Prix
44527,Qualité de la procédure de mise en culture,Coût global
44528,Valeur technique,Prix
44529,Qualité technique de loffre,Coût global
44530,Prix,Valeur technique
44532,Pertinence de la démarche dinsertion professionnelle,Prix
44541,Valeur technique,Prix des prestations
44543,Valeur technique de loffre,Prix de loffre
44545,Prix des prestations,Valeur technique
44550,Prix des fournitures,Valeur technique de loffre
44566,Prix,Importance des réserves
44572,Qualité du matériel : caractéristiques techniques et performances du matériel proposé (rapidité et qualité dimpression,Prix des prestations
44577,Prix,Valeur Technique
44579,Prix des prestations,Valeur technique de loffre
44587,Valeur technique des prestations,Prix des prestations
44599,Prix,Valeur Technique
44602,valeur technique,prix
44603,prix,valeur technique
44605,Prix de la prestation,Valeur technique de loffre
44606,conditions financières dexécution des prestations,conditions techniques dexécution des prestations y compris moyen du candidat
44608,&#61552;Prix : 35 % (Annexe 2 et Chiffrage réseau de référence : 10% (Annexe 3,&#61552;Valeur technique de loffre
44609,Valeur de léquipe dédiée,Prix
44610,prix des prestations,valeur technique
44613,Prix,Note technique
44616,Prix de la prestation,Qualité de la prestation
44618,Prix,Note technique
44619,Prix,Délais de livraison
44623,critère économique,critère technique
44624,critère économique,critère technique
44626,Valeur technique de loffre,Prix des prestations
44627,Prix,valeur technique appréciée au regard de la qualité du cadre de réponses techniques ( 6 points : Méthodologie dintervention proposée ( 7 points : Moyens matériels et logistiques mis en oeuvre pour effectuer les prestations ( 7 points : Délais dintervention
44628,Valeur technique appréciée au regard de la qualité du mémoire technique : (- 20 points : Plan de démarche qualité (-10 points : Formation à la conduite dengins (- 10 points : Respect de lenvironnement (- 10 points : formation grimpeur sauveteur secouriste du travail,Prix
44629,Valeur technique,Prix
44631,Prix,Valeur technique
44633,Technique,Prix
44635,Valeur technique,Prix
44636,Prix des prestations,Valeur technique
44637,valeur technique,prix
44638,Valeur technique : Réactivité et adaptation opérationnelle aux besoins du dispositif - Qualité des méthodes,Prix des prestations : Bordereau des prix unitaires et détail quantitatif estimatif
44639,Prix des prestations,Valeur technique
44642,prix,valeur techique
44643,prix,valeur technique
44644,Prix des prestations,Valeur technique et méthodologique
44647,Prix,Valeur technique
44648,Valeur technique de loffre,Prix
44649,Valeur technique,Prix des prestations
44650,critère économique,critère technique
44651,critère économique,critère technique
44652,Prix,Note technique
44657,Valeur technique de loffre,Prix des prestations
44658,Prix des prestations,Valeur technique
44659,Qualité,Sécurité
44661,Prix,Valeur technique appréciée en fonction des délais de présentation des dossiers
44664,critère économique,critère technique
44665,Prix des prestations,Valeur technique
44666,Prix des prestations,Valeur technique
44667,Forfait de rémunération,Note méthodologique
44669,valeur technique de loffre,prix de la prestation
44670,Prix 60 %,Technique 40 %
44671,Prix,Valeur technique
44672,Prix,Valeur technique appréciée en fonction des éléments fournis à lappui de loffre et notamment de lagrément TIP
44673,valeur technique,prix
44676,Valeur technique de loffre (qualité/conformité/respect des genres et espèces,Service après vente et assistance technique (garanties proposées et service après vente
44677,Valeur technique : Nature et étendue des garanties - qualité des clauses contractuelles (coefficient 4.5,Prix des prestations : (coefficient 4
44678,Valeur technique,Prix
44682,Prix des prestations,Délai de livraison ou dexécution
44683,Prix des prestations,Valeur technique de loffre
44684,Prix des prestations,Délai de livraison ou dexécution
44685,Prix des prestations,Délai de livraison ou dexécution
44686,Prix des prestations,Délai de livraison ou dexécution
44688,Prix des prestations,Qualité
44689,Valeur technique,Montant de loffre
44691,Prix des prestations,Valeur technique
44693,Prix,Valeur technique
44694,Prix,Valeur technique
44703,valeur technique au regard du contenu du mémoire technique joint à loffre du candidat,prix des prestations.
44704,Prix,Valeur technique des prestations
44705,Capacité à gérer rapidement et efficacement le contrat,Prix au regard des franchises proposées
44707,Prix,Valeur technique
44708,Valeur technique de loffre,Prix
44710,Pertinence du contenu pédagogique de la formation %,Coût de lintervention %
44711,Valeur technique de loffre,prix
44712,PRIX,MOYENS MATERIELS
44715,Technique,Prix
44716,Quantitatif,Financier
44723,Valeur technique : La valeur technique sera jugée au vu du mémoire technique remis par le candidat et faisant état entre autre de la méthodologie,Prix des prestations
44724,valeur technique,prix
44725,Valeur technique,Prix/conditions financières
44731,prix,qualité
44733,Prix,Valeur technique
44734,Valeur technique,Prix des prestations
44735,valeur technique de loffre au regard du memoire technique,prix global( TTC des prestations indiquées dans lacte dengagement
44736,Qualité des produits,Prix
44737,Qualité,Prix
44744,Valeur technique de loffre,Prix
44745,Prix,Valeur technique de loffre
44747,Prix,Valeur technique
44750,Valeur technique de loffre,Prix
44752,Prix des prestations,Valeur technique (détail pondération dans le R.C.
44755,Prix,Valeur technique et environnementale
44760,Prix des prestations,Valeur technique des offres
44761,Qualité de loffre,Prix
44762,Lot 1 : Prix des prestations,Lot 1 : Valeur technique appréciée au regard du mémoire technique
44764,Valeur technique,Critère de prix
44771,Prix,Valeur technique de loffre
44784,Prix,Valeur technique
44788,valeur technique,prix
44789,Prix,Valeur technique
44790,Prix,Valeur technique et environnementale de loffre
44793,Valeur technique,Prix
44795,Valeur technique des prestations,Prix
44802,Valeur technique de loffre,Prix
44806,Prix,Valeur technique de loffre
44808,Prix,Valeur technique
44810,Prix,Valeur technique de loffre
44814,Valeur technique,Prix des prestations
44817,Lot 1 : Prix,Lot 1 : Complétude de loffre vis-à-vis des besoins listés au bordereau des prix unitaires
44824,Prix des prestations,Valeur technique au vu du mémoire justificatif
44829,Prix,Valeur technique et environnementale
44830,Valeur technique,Prix des prestations
44834,Prix,Valeur technique et environnementale
44835,Prix,Valeur technique
44845,Forfait de rémunération,Pertinence de la note méthodologique
44849,Valeur technique,Prix de loffre de positionnement
44851,Prix des prestations,Valeur technique
44855,Prix,Valeur technique
44856,Prix des prestations,Valeur technique
44860,Valeur technique de loffre,Prix
44862,Valeur technique de loffre,Prix
44864,Valeur technique,Prix équipements
44869,Prix,Qualité du mémoire
44872,qualité,prix
44874,Valeur technique,Prix
44881,Valeur technique,Valeur technique de loffre
44888,Prix,Valeur technique
44891,Prix des prestations,Valeur technique notée en fonction du DART et des fiches techniques
44892,Prix des prestations noté en fonction du DQE,Exhaustivité de la gamme notée en fonction du TEG
44899,Valeur technique de loffre,Prix
44900,Valeur technique,Prix des prestations
44902,Prix,Adéquation et importance des références de la ou des personnes chargées de lexécution des missions
44913,Méthodologie,Références hospitalières
44915,Valeur technique de loffre,Prix
44922,Valeur technique des prestations (Cf. RC Pour détails,Prix global et forfaitaire
44924,Prix,Valeur environnementale
44930,Prix des prestations,Valeur technique
44934,Prix,Valeur technique
44935,Esthétisme,Valeur technique de loffre
44938,Valeur technique,Prix
44939,Prix,Dont entretien annuel
44941,Prix de loffre,EXHAUSTIVITE DE LA GAMME
44951,Qualité,Prix
44957,Valeur technique,Coût total de possession
44958,Prix,Valeur technique de loffre
44962,Prix,Valeur technique et environnementale
44965,qualité,prix
44969,Prix des prestations,Valeur technique
44971,Prix,Valeur technique
44972,Prix des prestations,Valeur technique notée en fonction du DART et des fiches techniques
44978,Moyens techniques et humains,prix( DPGF / bordereaux de prix
44979,Valeur technique (Cf. RC pour détails,Prix global et forfaitaire
44982,Prix des prestations,Valeur technique
44983,Qualité (qualité gustative 30% + qualité de fabrication 30%,Prix
44986,Le prix : 70 points,Technique : 30 points
44994,Prix,Proximité
45004,Prix : 60 points,Valeur technique : 40 points (cf article 6 RC pour la sous-pondération
45022,qualité du dossier technique,prix
45023,qualité,prix
45025,Prix (70%,Valeur technique de loffre (30%
45028,Valeur technique,Prix
45029,Prix,Valeur technique de loffre
45030,Valeur technique,Prix
45048,Valeur technique,Prix des prestations
45049,Prix,Méthodologie et calendrier
45050,valeur technique,prix des prestations
45057,prix,valeur technique
45062,Prix des prestations,Valeur technique analysée à partir des sous critères suivants : note détaillée sur la méthodologie envisagée et les outils mobilisés spécifiquement pour le marché (15 % et délai dintervention au titre du dépannage (15 %
45063,Valeur technique,Prix des prestations
45064,Prix,Valeur technique
45065,Valeur technique,Prix
45073,Prix,Note technique
45076,Prix des prestations,Valeur technique
45084,Qualité,Caractère esthétique
45098,Prix des prestations,Valeur technique analysée à partir des 3 pièces comportant les thèmes demandés
45103,Prix,Note technique
45117,valeur technique,planning
45118,Valeur technique (sous critères énoncés dans le réglement de la consultation,Prix
45133,Prix,Valeur technique de loffre
45141,Prix des prestations,Valeur technique
45150,Qualité analysée au regard du mémoire technique devant détailler la méthodologie dintervention : la disponibilité de la société et sa réactivité en cas durgence,Prix des prestations analysé au regard du coût horaire TTC pour le lot no 1 et du prix forfaitaire mensuel TTC pour le lot no 2.
45151,Valeur technique,Prix des prestations
45153,Prix des prestations,Valeur technique sur la base des moyens humains et matériels destinés à lexécution du marché
45154,Prix,Note technique
45156,Prix,Note technique
45160,Valeur technique,Prix des fournitures
45163,valeur technique,prix des prestations
45168,Valeur technique analysée au regard de la diversité du catalogue,Prix des prestations analysé au regard du montant TTC du détail quantitatif estimatif
45173,Valeur technique,prix
45177,Qualité technique,prix
45184,Valeur technique appréciée au regard dun mémoire technique,Prix
45187,Lot 1 : Valeur technique,Lot 1 : Prix des prestations
45197,Prix,Valeur technique
45215,Prix des prestations,Valeur technique
45219,Caractère esthétique et référence au passé industriel,Délai de réalisation
45225,Valeur technique,Prix des prestations
45227,Prix,Valeur Technique
45248,Prix,Délai de livraison
45250,Prix des prestations,Valeur technique
45252,Valeur technique des équipements proposés,Valeur technique des prestations dont SAV
45253,Valeur technique (qualité du mémoire technique,Prix des prestations
45254,Valeur technique,Prix des prestations
45259,Valeur technique,Prix des prestations
45262,Prix des prestations,Valeur technique
45263,Prix des prestations,Valeur technique (Qualité de la DPGF
45264,Prix des prestations,Valeur technique
45268,Valeur technique appréciée au regard du dossier technqiue remis par le candidat (moyens humains et niveau de qualification-note 30 points,Délai dintervention
45269,Valeur technique,Prise en compte des enjeux environnementaux
45271,valeur technique,Prix des prestations
45272,Valeur technique appréciée au regard dun mémoire technique,Prix
45273,Valeur technique,Prix des prestations
45274,Prix des prestations,Valeur technique appréciée au regard des réponses formulées par le candidat dans son mémoire technique
45276,Valeur technique appréciée au regard du mémoire technique,Prix des prestations
45281,Valeur technique appréciée au vu du mémoire technique du candidat,Prix des prestations jugée au refgard du devis descriptif estimatif (en euros TTC
45282,Prix de la prestation,Partie technique (cf. détail des sous critères dans RC
45283,valeur technique au vu du mémoire justificatif,prix
45284,Valeur technique de loffre,Prix des prestations
45287,Valeur technique,Prix des prestations
45288,Valeur technique de loffre,Prix des prestations
45290,Critère no1: Qualité des prestations,Sous-critère 1: Détail du suivi commercial (procédure déchange/SAV
45291,Valeur Technique,Prix des prestations
45292,Lot 1 : Prix des prestations,Lot 1 : Valeur technique
45293,Qualité technique (les sous critères sont détaillés dans le RC,Prix
45295,Qualité technique ( les sous critères sont détaillés dans le RC,Prix
45297,Prix des prestations,Valeur technique
45300,Valeur technique,Prix de la prestation
45301,Valeur technique,Prix des prestations
45302,Prix des prestations,Valeur technique
45303,Valeur technique,Prix des prestations
45304,Prix des prestations,Valeur technique
45305,Valeur technique,Prix des prestations
45306,Prix des prestations,Valeur technique
45307,Valeur technique,Intégration au site
45308,Valeur technique,Prix des pestations
45309,Prix des prestations,Valeur technique
45311,Prix,Valeur technique
45312,Valeur technique,Prix
45313,Prix des prestations,Valeur technique
45314,Qualité des produits proposés (fiches techniques ous échantillons,Garanties professionnelles et politique qualité environnementale
45316,Prix des prestations,Valeur technique
45317,valeur technique,prix des prestations
45318,Prix des prestations,Délai dexécution
45319,Prix des prestations,Valeur technique
45320,Prix,Valeur technique
45322,Valeur technique,Prix
45323,Prix,Valeur technique évaluée en fonction du mémoire technique
45329,Prix global de la prestation (sur la base du D.Q.E.,Valeur technique
45333,montant de loffre,délai dexécution
45341,Prix,Valeur technique appréciée Valeur technique : 40 % en fonction du mémoire technique détaillant les capacités techniques et humaines dédiées à la prestation
45342,Valeur technique,Prix des prestations
45343,Prix,Valeur technique
45348,Prix : 60 points,Valeur technique (Qualité de la DPGF
45353,Prix,Résultat des essais et études des fiches techniques
45355,Prix,Valeur technique
45356,Prix des prestations,Qualité technique de loffre analysée à partir du mémoire technique
45358,Forfait de rémunération,Valeur technique de loffre : sous critère 2a moyens mis en oeuvre dans le cadre de lexécution de la mission (moyens humains et compétences pluridisciplinaires du titulaire et / ou de léquipe affecté à la mission 10 % - matériels et / ou outils affectés à la mission 5 % sous critère 2b note détaillée sur la méthodologie (organisation et méthodologie 5 % - planning détaillé sur le déroulement de la mission 10 % - note dintention présentant une approche du projet 10 %
45361,valeur technique de loffre,prix
45363,Valeur technique,Prix des prestations
45365,critère économique,critère technique
45370,Qualité des moyens mise en oeuvre pour effectuer les prestations (selon dossier technique du candidat,Prix
45372,valeur technique,délais dassistance commerciale
45382,Prix : 70 points,Valeur technique (Qualité de la DPGF
45388,Prix,Valeur technique
45389,Prix,Valeur technique sur la base du mémoire technique
45390,Valeur technique appréciée au regard du mémoire technique,Prix des prestations analysé au regard du DQE
45401,Valeur technique,Prix des prestations (sur la base du détail estimatif
45402,Valeur technique,Prix
45406,Valeur technique,Prix
45407,Prix,Valeur technique
45411,valeur technique,prix des prestations (sur la base du détail estimatif
45419,Prix,Valeur technique
45421,Prix,Valeur technique
45423,valeur technique de loffre,Prix des prestations
45425,Forfait de rémunération,Valeur technique de loffre avec lanalyse des moyens humains et matériels mis en oeuvre dans le cadre de lexécution de la mission : compétences du titulaire ou le cas échéant de léquipe 10 % - références sur des missions identiques : 10 %
45428,Prix des prestations,Valeur technique
45431,Valeur technique,Prix des prestations
45435,Caractère fonctionnel,Prix des prestations
45452,Prix,Valeur technique analysée en fonction des sous critères du mémoire technique : sous critère 1 moyens humains et matériels effectivement mis en oeuvre par le candidat pour la réalisation des travaux 10 % - sous critère 2 détail et délai des opérations exécutées et des procédés techniques employés 20 %
45453,Prix sur la base du total des forfaits H.T pour une intervention,Valeur technique de loffre composée des sous critères suivants : sous critère 1 note détaillée sur la méthodologie envisagée de 15 % - sous critère 2 les outils et moyens mobilisés spécifiquement pour lexécution du marché 15 %
45457,Valeur technique,Prix
45459,Prix des prestations analysé sur la base du bordereau des prix unitaires,Qualité des prestations et fournitures appréciée au regard du mémoire justificatif
45460,valeur technique,prix
45461,valeur technique,pris
45462,Prix,Valeur technique de loffre composée des sous critères suivants : sous critère 1 note détaillée sur la méthodologie envisagée 10 % - sous critère 2 les outils et moyens mobilisés spécifiquement pour lexécution 10 %
45465,Prix des prestations (addition du BPU,Valeur technique analysée à partir du mémoire technique
45466,valeur technique de loffre,prix
45471,Prix,Note méthodologique
45474,Prix,Valeur technique
45476,Prix des prestations,Valeur technique des offres
45481,Valeur technique,Montant de loffre
45483,Valeur technique de loffre,Prix
45485,prix,qualité du dossier technique
45501,Prix,Valeur technique
45504,Prix,Valeur technique
45507,conformité technique,prix
45521,Prix des prestations,Valeur technique
45525,Prix,Valeur esthétique et artistique
45526,Prix,Valeur esthétique et artistique
45527,Prix des prestations,Valeur
45530,valeur technique,prix des prestations
